Project Number,Capital Plan,Agency Name,Plan Revision,Budget Submission Date,Project Description,Change Narrative,Plan Year - Year 1 Allocation,Plan Year - Year 2 Allocation,Plan Year - Year 3 Allocation,Plan Year - Year 4 Allocation,Plan Year - Year 5 Allocation,Out Years Allocation,Total Allocation
G5090115,Capital Plan 2005 - 2009,Capital Construction,999999,Current,ESA: 50th Street Ventilation Facility                                                                                                                                                                                                                          ,The budget has been revised to reflect an adjustment to escalation and subsequently due to a favorable bid. Schedule adjusted for lower-than-expected excavation production rates.  Construction work on this contract was completed in March 2014. Budget decreased to reflect anticipated cost at closeout,,,,,,95205,95205
G5090117,Capital Plan 2005 - 2009,Capital Construction,200807,2008 Jul.,Construction of various infrastructure elements at Harold Interlocking (Part 1)                                                                                                                                                                                ,,,,137280,27424,,,164704
G5090117,Capital Plan 2005 - 2009,Capital Construction,200907,2009 Jul.,Construction of various infrastructure elements at Harold Interlocking (Part 1)                                                                                                                                                                                ,,,,137280,27424,,,164704
G5090117,Capital Plan 2005 - 2009,Capital Construction,999999,Current,ESA: Construction of various infrastructure elements at Harold Interlocking (Part 1)                                                                                                                                                                           ,"The budget and schedule reflect the results of the risk assessment presented to the MTA Board in May 2012. The budget and schedule have been adjusted to reflect additional design requirements for systems components (signals and power). In addition, the budget was updated for the transfer of budget and scope for select construction elements, such as signal bridges and approach work for Tunnel A. The schedule was adjusted for permitting delays. The current forecast to complete is based on recent work progress and completion schedule for remaining work and now includes a testing period. Current delays due to cutover of the new duct bank as well as resource issues continue to impact this contract. Testing of whole system required before cutover can occur. Amtrak has requested additional burn-in time for equipment. Construction work on this contract was completed in February 2016.",,,209468,,,,209468
G5090118,Capital Plan 2005 - 2009,Capital Construction,200807,2008 Jul.,Harold Interlocking Force Account work                                                                                                                                                                                                                         ,,,,104503,1736,68868,,175107
G5090118,Capital Plan 2005 - 2009,Capital Construction,200907,2009 Jul.,Harold Interlocking Force Account work                                                                                                                                                                                                                         ,,,,104503,1736,68868,,175107
G5090118,Capital Plan 2005 - 2009,Capital Construction,999999,Current,ESA: Harold Interlocking Force Account work                                                                                                                                                                                                                    ,"The budget and schedule reflect the results of the risk assessment presented to the MTA Board in May 2012. The budget and schedule have been adjusted to reflect additional design requirements for systems components (signals and power). In addition, the budget was updated for the transfer of budget and scope for select construction elements, such as signal bridges and approach work for Tunnel A. The schedule was adjusted for permitting delays. The current forecast to complete is based on recent work progress and completion schedule for remaining work and now includes a testing period. Current delays due to cutover of the new duct bank as well as resource issues have impacted this contract.",,,51244,27988,42223,6593,128049
G5090119,Capital Plan 2005 - 2009,Capital Construction,200807,2008 Jul.,"Harold CILs,Communication System, Misroute                                                                                                                                                                                                                     ",,,,,48463,13221,,61684
G5090119,Capital Plan 2005 - 2009,Capital Construction,200907,2009 Jul.,"Harold CILs,Communication System, Misroute                                                                                                                                                                                                                     ",,,,,48463,13221,,61684
G5090119,Capital Plan 2005 - 2009,Capital Construction,999999,Current,ESA: Harold CILs & Communication System                                                                                                                                                                                                                        ,"Budget allocation change reflects the transfer of budget and scope to a new project within the 2005-2009 Capital Program. In addition, the budget change reflects revised escalation and a revised estimate at completion. These contracts will remain open during the testing and commissioning period. The schedule was adjusted to reflect Harold repackaging to expedite Regional Investment work. Completion of this work is tied to the last CIL cutover and additional related software changes.",,,,7724,29831,1989,39544
G5090122,Capital Plan 2005 - 2009,Capital Construction,200807,2008 Jul.,Queens Bored Infrastructure                                                                                                                                                                                                                                    ,,,,,534309,,,534309
G5090122,Capital Plan 2005 - 2009,Capital Construction,200907,2009 Jul.,Queens Bored Infrastructure                                                                                                                                                                                                                                    ,,,,,534309,,,534309
G5090122,Capital Plan 2005 - 2009,Capital Construction,999999,Current,ESA: Queens Bored Infrastructure                                                                                                                                                                                                                               ,"Budget increase is the result of several factors, including unfavorable bids, a contract option transferred from another project, and additional scope to repair the slurry wall constructed under a previously defaulted contract. A subsequent budget decrease reflects the transfer of budget and scope for select trenching and concrete work to another contract. The schedule was adjusted for initial delays in Tunnel Boring Machine (TBM) excavation, as well as the impact of the slurry wall repairs and other added work. With the original base work of this contract completed, only the added scope remains with some work delays due to resource availability and work coordination. This scope has been moved to another contract. Construction work on this contract has been completed. Budget decreased to reflect anticipated cost at closeout based upon final negotiated change orders approved at April 2014 MTA board.",,,,,736403,,736403
G5090128,Capital Plan 2005 - 2009,Capital Construction,200807,2008 Jul.,Madison Yard Demolition                                                                                                                                                                                                                                        ,,,,,66557,,,66557
G5090128,Capital Plan 2005 - 2009,Capital Construction,200907,2009 Jul.,Madison Yard Demolition                                                                                                                                                                                                                                        ,,,,,66557,,,66557
G5090128,Capital Plan 2005 - 2009,Capital Construction,999999,Current,ESA: Madison Yard Demolition                                                                                                                                                                                                                                   ,"Budget decrease reflects a revised estimate, correction to prior scope transfer and transfer of Shaft 5 work to another contract. Completion delay due to Metro-North Commissary work - no impact to the overall ESA project schedule.",,,,605,41853,,42458
G5100101,Capital Plan 2005 - 2009,Capital Construction,200504,2005 Apr.,Construction                                                                                                                                                                                                                                                   ,,,,,,,,
G5100101,Capital Plan 2005 - 2009,Capital Construction,200807,2008 Jul.,Second Avenue Subway: Contract 2A - 96th Street Station                                                                                                                                                                                                        ,,,,,286716,,,286716
G5100101,Capital Plan 2005 - 2009,Capital Construction,200907,2009 Jul.,Second Avenue Subway: Contract 2A - 96th Street Station                                                                                                                                                                                                        ,,,,,286716,,,286716
G5100101,Capital Plan 2005 - 2009,Capital Construction,999999,Current,Second Avenue Subway: Contract 2A - 96th Street Station                                                                                                                                                                                                        ,Budget was revised based on costs of construction and support requirements at time of award. Change in budget allocation is a result of an increase in contingency. An additional increase is due to higher costs of trucking & disposal of project spoils. Additional funding for this increase is under the 2010-2014 Capital Program. Delay in substantial completion initially driven by unforeseen utility interferences and more recently due to structural and demolition work at entrance on the southwest corner of 94th Street and 2nd Avenue. Substantial completion was reached in November 2013.,,,,,366502,12340,378841
G5100102,Capital Plan 2005 - 2009,Capital Construction,200807,2008 Jul.,Second Avenue Subway: Contract 4A - 72nd Street Station Structure                                                                                                                                                                                              ,,,,,,649265,,649265
G5100102,Capital Plan 2005 - 2009,Capital Construction,200907,2009 Jul.,Second Avenue Subway: Contract 4A - 72nd Street Station Structure                                                                                                                                                                                              ,,,,,,649265,,649265
G5100102,Capital Plan 2005 - 2009,Capital Construction,999999,Current,Second Avenue Subway: Contract 4B - 72nd Street Station Structure                                                                                                                                                                                              ,"Some scope was transferred to a separate package as part of a larger effort to create smaller, less complex construction packages for the Second Ave Subway project. Entrance 1 scope was transferred to another contract. The contract achieved substantial completion on January 14, 2014.",,,,,,454437,454437
G5100103,Capital Plan 2005 - 2009,Capital Construction,200504,2005 Apr.,Rolling Stock                                                                                                                                                                                                                                                  ,,,,,,,,
G5100103,Capital Plan 2005 - 2009,Capital Construction,200807,2008 Jul.,Second Avenue Subway: Contract 5A - 86th Street Station Structure                                                                                                                                                                                              ,,,,,,442466,,442466
G5100103,Capital Plan 2005 - 2009,Capital Construction,200907,2009 Jul.,Second Avenue Subway: Contract 5A - 86th Street Station Structure                                                                                                                                                                                              ,,,,,,442466,,442466
G5100103,Capital Plan 2005 - 2009,Capital Construction,999999,Current,Second Avenue Subway: Contract 5A - 86th Street Station Structure                                                                                                                                                                                              ,"Some scope was transferred to a separate package as part of a larger effort to create smaller, less complex construction packages for the Second Ave Subway project. Change in budget allocation is a result of an additional increase in contingency and utility expenses. Prior delay in completion date was due to unforeseen utility interferences. Recent reduction in budget allocation reflects final charges for services rendered. Contract has now been closed out",,,,,43109,8162,51270
G5100104,Capital Plan 2005 - 2009,Capital Construction,200504,2005 Apr.,Final Design Phase 2                                                                                                                                                                                                                                           ,,,,,,,,
G5100104,Capital Plan 2005 - 2009,Capital Construction,200807,2008 Jul.,Second Avenue Subway: Contract 6: Systems                                                                                                                                                                                                                      ,,,,,,291574,,291574
G5100104,Capital Plan 2005 - 2009,Capital Construction,200907,2009 Jul.,Second Avenue Subway: Contract 6: Systems                                                                                                                                                                                                                      ,,,,,,291574,,291574
G5100104,Capital Plan 2005 - 2009,Capital Construction,999999,Current,Second Avenue Subway: Contract 6: Systems                                                                                                                                                                                                                      ,"Budget was reallocated to separate projects within the Second Avenue project. Change in budget allocation is due to the consolidation of this work into this capital program. Additionally, the budget increase reflects the actual negotiated price and an increased allocation for design reviews and inspection of built facilities. Procurement process was extended to coordinate with other MTACC Systems contracts, for an extended RFP procurement process, and to respond to a bid protest filed in December 2014 after the contract price was negotiated. Contract substantial delay is due late turnover of communications, signals, and traction power rooms by the station finishes contractors and late submission/approval of track alignment for track installation. Revenue Service began January 1, 2017. Punch list items, as-built drawing and other administrative activities will be completed in mid-2018.",,,,,,315902,315902
G5110101,Capital Plan 2005 - 2009,Capital Construction,200504,2005 Apr.,Finishes and System work for the Extension of #7 Subway Line                                                                                                                                                                                                   ,,366000,910000,,634000,,,1910000
G5110101,Capital Plan 2005 - 2009,Capital Construction,200512,2005 Dec.,Finishes and System work for the Extension of #7 Subway Line                                                                                                                                                                                                   ,,,1043000,867000,,,,1910000
G5110101,Capital Plan 2005 - 2009,Capital Construction,200612,2006 Dec.,Finishes and System work for the Extension of #7 Subway Line                                                                                                                                                                                                   ,Work scope was separated into different packages as design progressed.,,,390000,660000,,,1050000
G5110101,Capital Plan 2005 - 2009,Capital Construction,200807,2008 Jul.,Finishes and System work for the Extension of #7 Subway Line                                                                                                                                                                                                   ,Work scope was separated into different packages as design progressed.,,,,,756606,,756606
G5110101,Capital Plan 2005 - 2009,Capital Construction,200907,2009 Jul.,Finishes and System work for the Extension of #7 Subway Line                                                                                                                                                                                                   ,,,,,,756606,,756606
G5110101,Capital Plan 2005 - 2009,Capital Construction,999999,Current,Reserve Funds for Work beyond Running Tunnel for the Extension of the #7 Subway Line                                                                                                                                                                           ,"The reserve was initially established to fund planned construction packages.  After award of all construction contracts, remaining funds have been shifted to extend construction management and construction support services and more recently address additional design changes and project management costs.   Furthermore, the reserve was lowered in the 3rd Quarter 2014 to provide additional contract contingency for Systems & Finishes.   This amount reflects an agreed upon settlement with the contractor and resolve open claims and change orders. Recently, the reserves were replenished reflecting HYDC's approval for non-subway related work.",,,,,,1411,1411
G5110103,Capital Plan 2005 - 2009,Capital Construction,200612,2006 Dec.,Construction Management Svcs                                                                                                                                                                                                                                   ,,,60000,,,,,60000
G5110103,Capital Plan 2005 - 2009,Capital Construction,200807,2008 Jul.,Construction Management Svcs                                                                                                                                                                                                                                   ,Budget adjusted to match the actual award value of the consultant construction management contract.,,,35842,,,,35842
G5110103,Capital Plan 2005 - 2009,Capital Construction,200907,2009 Jul.,Construction Management Svcs                                                                                                                                                                                                                                   ,,,,35842,,,,35842
G5110103,Capital Plan 2005 - 2009,Capital Construction,999999,Current,Construction Management Services for the Extension of #7 Subway Line                                                                                                                                                                                           ,The budget was increased to include contingency then further increased to reflect additional construction management needs. The budget was further increased to reflect additional funds for closeout. The forecast completion date was revised to reflect the current schedule.,,,69925,,,4010,73935
G5110104,Capital Plan 2005 - 2009,Capital Construction,200612,2006 Dec.,Structural and Civil Construction for the Extension of #7 Subway Line                                                                                                                                                                                          ,,,,900000,,,,900000
G5110104,Capital Plan 2005 - 2009,Capital Construction,200807,2008 Jul.,Structural and Civil Construction for the Extension of #7 Subway Line                                                                                                                                                                                          ,Contract packaging and scope were changed as design progressed.,,,1222472,80,,,1222552
G5110104,Capital Plan 2005 - 2009,Capital Construction,200907,2009 Jul.,Structural and Civil Construction for the Extension of #7 Subway Line                                                                                                                                                                                          ,,,,1222472,80,,,1222552
G5110104,Capital Plan 2005 - 2009,Capital Construction,999999,Current,Structural and Civil Construction for the Extension of #7 Subway Line                                                                                                                                                                                          ,The contract was substantially completed ahead of schedule. MTACC was able to reduce the budget because of lower change order costs.,,,1157543,2428,686,,1160657
G5110107,Capital Plan 2005 - 2009,Capital Construction,200907,2009 Jul.,Construction (Site L)                                                                                                                                                                                                                                          ,,,,,,,65505,65505
G5110107,Capital Plan 2005 - 2009,Capital Construction,201012,2010 Dec.,Construction (Site L)                                                                                                                                                                                                                                          ,,,,,,,65505,65505
G5110107,Capital Plan 2005 - 2009,Capital Construction,999999,Current,Construction work at Site L for the Extension of #7 Subway Line                                                                                                                                                                                                ,The budget was adjusted to reflect final charges. Substantial completion was reached in October 2012.,,,,,,60421,60421
G5110108,Capital Plan 2005 - 2009,Capital Construction,200907,2009 Jul.,Construction (Site J)                                                                                                                                                                                                                                          ,,,,,,,130991,130991
G5110108,Capital Plan 2005 - 2009,Capital Construction,201012,2010 Dec.,Construction (Site J)                                                                                                                                                                                                                                          ,,,,,,,130805,130805
G5110108,Capital Plan 2005 - 2009,Capital Construction,999999,Current,Construction work at Site J for the Extension of #7 Subway Line                                                                                                                                                                                                ,Substantial completion was reached in February 2014. A prior delay was due to permit and code compliance issues.  Budget was reduced to align with closeout value.,,,,,,122311,122311
G5110110,Capital Plan 2005 - 2009,Capital Construction,201012,2010 Dec.,Construction (Site K)                                                                                                                                                                                                                                          ,,,,,,,92415,92415
G5110110,Capital Plan 2005 - 2009,Capital Construction,999999,Current,Construction work at Site K for the Extension of #7 Subway Line                                                                                                                                                                                                ,"Budget adjusted to match the actual award value of the construction contract. Budget decrease reflects the re-allocation of staffing and associated funding. Contract reached substantial completion in November 2012, three months ahead of schedule.  Budget was reduced to align with closeout value.",,,,,,58475,58475
G6090101,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Program Management                                                                                                                                                                                                                                        ,,,21646,8298,12789,31043,,73774
G6090102,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Engineering and Design                                                                                                                                                                                                                                    ,,,48243,,27185,10000,,85427
G6090103,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: MTA Management                                                                                                                                                                                                                                            ,,,,,26370,50,2187,28607
G6090104,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Force Account Support                                                                                                                                                                                                                                     ,Budget allocation changed due to a shift in funding from the 2010-2014 Capital Program to this item in the 2005-2009 Capital Program.,,,,,,,
G6090105,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Metro-North Railroad Force Account Support for Manhattan Structural work                                                                                                                                                                                  ,Completion date changed to align with the completion of Manhattan work.,,16681,,,,,16681
G6090106,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Systemwide Track and Third Rail                                                                                                                                                                                                                           ,Budget allocation changed to reflect repackaging of work and transferred to new project. Overall ESA project scope unchanged.,,,,,,,
G6090107,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Communications and Controls Systems                                                                                                                                                                                                                       ,Budget allocation changed to reflect repackaging of work and transferred to new project. Overall ESA project scope unchanged.,,,,,,,
G6090108,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Tunnel Ventilation and Facility Power Systems                                                                                                                                                                                                             ,Budget allocation changed to reflect repackaging of work and transferred to new project. Overall ESA project scope unchanged.,,,,,,,
G6090109,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Traction Power Systems                                                                                                                                                                                                                                    ,Budget allocation changed to reflect repackaging of work and transferred to new project. Overall ESA project scope unchanged.,,,,,,,
G6090110,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Signal Systems                                                                                                                                                                                                                                            ,Budget allocation changed to reflect repackaging of work and transferred to new project. Overall ESA project scope unchanged.,,,,,,,
G6090111,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Owner-Controlled Insurance Program (OCIP)                                                                                                                                                                                                                 ,Budget increased due to longer project duration and cost increases for OCIP.,,4221,,62267,28909,,95397
G6090112,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: 55th Street Ventilation Plant Facility                                                                                                                                                                                                                    ,Contract Substantial completion delayed due to lower productivity and potential changes relating to the hoist system. Recent partial budget reduction  was to align budget with final estimate.,,,56290,,,,56290
G6090113,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Construction Management                                                                                                                                                                                                                                   ,Budget increased to reflect revised estimate through 2020.,,52527,54219,54252,69444,,230443
G6090114,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Grand Central Terminal Concourse and Facilities Fit Out                                                                                                                                                                                                   ,Continued low productivity has pushed out substantial completion.,,53966,,7374,,,61341
G6090115,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Vertical Circulation Equipment - Elevators and Escalators                                                                                                                                                                                                 ,Completion date changed to align with the completion of Manhattan work.,,,,,,3709,3709
G6090116,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: General Conditions                                                                                                                                                                                                                                        ,,,29527,,,19933,,49459
G6090117,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Manhattan Structures 2                                                                                                                                                                                                                                    ,"Scope transferred to Manhattan North Structures, Manhattan South Structures, and other projects. Overall ESA project scope unchanged.",,,,,,,
G6090118,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Harold Interlocking Force Account                                                                                                                                                                                                                         ,Budget increase due to higher estimates and extended durations for future work.,,76563,1438,,27379,27224,132604
G6090119,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Harold Misroute Prevention Protection                                                                                                                                                                                                                     ,Scope transferred to the Harold & Point CIL project. Funding shifted to the 2005-2009 Capital Program to fund this project.,,,,,,,
G6090120,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Queens Plaza Substation and Structures                                                                                                                                                                                                                    ,Continued low productivity and a number of outstanding issues that need to be addressed by the contractor have pushed out substantial completion.,,107149,152091,,,245,259485
G6090121,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Mid-Day Storage Yard Facility CILs                                                                                                                                                                                                                        ,This contract's completion delays are driven by delays in the Mid-Day Storage Yard Facility construction contract. Budget increase due to the addition of redundant microprocessors.,,,,,,22324,22324
G6090122,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Construction of various infrastructure elements at Harold Interlocking (Part 1)                                                                                                                                                                           ,,,,83175,,,,83175
G6090123,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Harold Structures - Part 3A                                                                                                                                                                                                                               ,Harold Structures - Part 3A Westbound Bypass (CH057A) was substantially completed. Scope and budget are being moved to other contracts. Budget value adjusted to reflect estimate at completion.,,,,7050,,66291,73341
G6090124,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Harold Structures - Part 3B                                                                                                                                                                                                                               ,Budget increased due to a revised estimate based upon resequencing of work in Harold Interlocking This included scope transfers from other contracts. Award of Harold Structures Part 3B (CH058) contract has been delayed until the completion of the assessment of predecessor work and resource availability in Harold. This work was deferred.,,,,,,,
G6090125,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Amtrak Access and Protection Construction Support                                                                                                                                                                                                         ,,,4509,,18272,,,22781
G6090126,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Long Island Rail Road Access and Protection Construction Support                                                                                                                                                                                          ,,,3485,,6397,,,9882
G6090127,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: System Testing and Commissioning                                                                                                                                                                                                                          ,LIRR has begun the review of submittals for systems testing.,,,,,4760,,4760
G6090128,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Rail Car Procurement                                                                                                                                                                                                                                      ,"The portion of the budget, which was replenished in the 2015-2019 Capital Plan, was transferred back to the 2010-2014 Capital Plan for Rolling Stock Reserve as part of the May 2017 Capital Plan amendments. This scope was deferred to the next 2020-2024 capital program.",,,,,,,
G6090129,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Real Estate                                                                                                                                                                                                                                               ,The scope associated with 48th St Entrance was deferred to the next 2020-2024 capital program.,,,3612,,,1132,4744
G6090130,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Grand Central Terminal Civil and Structural Work                                                                                                                                                                                                          ,,,261739,,,,,261739
G6090131,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: 250 HZ Track Circuit                                                                                                                                                                                                                                      ,Completion date has slipped due to slower than expected progress.,,,,,,17844,17844
G6090134,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Protect Locomotive                                                                                                                                                                                                                                        ,The Rolling Stock Procurement has been delayed due to align with the overall project schedule. This scope is funded elsewhere within the 2015-2019 capital program.,,,,,,,
G6090135,Capital Plan 2010 - 2014,Capital Construction,999999,Current,"ESA: Communication, Control, Tunnel Ventilation and Facility Power Systems                                                                                                                                                                                     ","Completion date is aligned with other systems work. Delay in substantial completion is due to the delay turnover milestones and track work delays, along with testing and commissioning impacts. Additionally, the delay of the award of the signal installation contract may impact testing and commissioning. Additional delays are due to delays in fabrication of switch gear.",,,,368459,356,,368814
G6090136,Capital Plan 2010 - 2014,Capital Construction,999999,Current,"ESA: Track, Third Rail, Traction Power and Signal Installation                                                                                                                                                                                                 ",Due to the revised 2014 Replan project schedule this contract does not need to be awarded in 2014. This scope is funded in other capital programs.,,,,,,,
G6090137,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Signal Equipment Procurement                                                                                                                                                                                                                              ,Delay in substantial completion is due to the delay turnover milestones.,,,,21835,,,21835
G6090138,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Force Account Warehouse                                                                                                                                                                                                                                   ,The schedule reflects the December 2022 Revenue Service Date which was presented as part of the 2014 Replan.,,,,3405,,,3405
G6090139,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Manhattan Utilities Relocations                                                                                                                                                                                                                           ,Completion date moved to align with the completion of Manhattan work.,,,3751,2000,11797,173,17721
G6090140,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Tunnel A Connection                                                                                                                                                                                                                                       ,,,,,35619,,,35619
G6090141,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Manhattan South Structures                                                                                                                                                                                                                                ,Closeout is underway.  Budget value adjusted to reflect estimate at completion.,,,,241431,,,241431
G6090142,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Manhattan North Structures                                                                                                                                                                                                                                ,Completion date has slipped due to slower than expected productivity and administrative requirements. Continued low productivity and a number of outstanding issues that need to be addressed by the contractor have delayed substantial completion.,,,,,361639,,361639
G6090143,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Traction Power Systems                                                                                                                                                                                                                                    ,Delay in substantial completion is due to the delay turnover milestones. Additional delays due to delays in fabrication of switch gear.,,,,,79718,,79718
G6090144,Capital Plan 2010 - 2014,Capital Construction,999999,Current,ESA: Harold Track work                                                                                                                                                                                                                                         ,,,,,,1824,,1824
