Reference Number,Agency,Agency Description,Type of Contract,Duration of Contract,Contract Description,Project Description,Solicitation Month,Solicitation Year,Dollar Range,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14
A37277,NYCT,New York City Transit,Construction,12,Station Lighting: 7 Locations / Various (2017) [SBMP],"The purpose of this Small Business Mentoring project is to upgrade station lighting at seven locations in Manhattan and Brooklyn. The locations are: Canal Street, Chambers Street, Union Square, Wilson Avenue, Grand Street, 7th Avenue, Sterling Street. Work will include:",AUG,2018,$1M - $5M,"Replacement of qualifying deficient incandescent and old fluorescent lighting fixtures with retrofit LED fixtures on the mezzanines, control areas, entrances and passageways.",,,,,,,,,,,,,
RK-23C,B&T,Bridges and Tunnels,Constr Mgmt,36,Construction Management: QA and CM Services for the New Harlem River Drive Connector Ramp from RFK Bridge,Provide Quality Oversight Inspection and Construction Management Services for the RK-23 Design/Build Construction activities installing a new connector ramp between Harlem River Lift Span (HRLS) of the RFK Bridge and northbound Harlem River Drive (HRD).,DEC,2018,$5M - $10M,,,,,,,,,,,,,,
A37250,NYCT,New York City Transit,Construction,36,SIR Station Component Program,,JAN,2019,$1M - $5M,,,,,,,,,,,,,,
R34256,NYCT,New York City Transit,Purchase,27,Purchase of 2 Signal Supply Cars,,DEC,2018,$5M - $10M,,,,,,,,,,,,,,
A37301,NYCT,New York City Transit,Construction,12,Station Lighting: 8 Locations / Various (2018) [SBMP],,JAN,2019,$5M - $10M,,,,,,,,,,,,,,
L11281   [L60304TW],LIRR,Long Island Rail Road,Constr,9,Extend Great Neck Pocket Track,Project Scope includes construction of an extension to the existing Pocket Track east of Great Neck Station on the Port 'Washington Branch.  The extended Pocket Track will be located within the railroad Right of Way beneath Colonial Road Bridge and will accommodate a 12-car consist.,OCT,2018,$1M - $5M,"Manufacture, testing, delivery, and setting of complete signal enclosures for the new Great Neck Pocket Track.",,,,,,,,,,,,,
C-40260,MTA BUS,MTA Bus,Constr,27,HVAC-College Point Depot**,"The purpose of this project is to replace the over-aged HVAC units and associated equipment that are beyond their useful life at College Point Depot. The existing HVAC equipment is inadequate and no longer complies with the New York State Energy code. The new HVAC will be designed and constructed with the latest energy efficiency and maintenance features, and will be in compliance with the current New York State Energy code. The heating system that serves the chassis wash areas will be modified, and a BMS system to monitor HVAC system will be installed. This project is FTA funded. Procurement will be done on behalf of MTA Bus by MTA New York City Transit.",JUN,2018,$5M - $10M,,,,,,,,,,,,,,
"HC-07, HC-30/QM-91, HC-64, QM-81",B&T,Bridges and Tunnels,Constr Mgmt,39,Construction Management: Quality Assurance Oversight and Construction Management for the Design-Build Contracts,"Under this Construction and Design Quality Oversight contract, the consultant will provide quality oversight for Design-Build Contract HC-07: Rehabilitation of Hugh L. Carey Tunnel Ventilation System and Fixed Fire Suppression System, HC-30/QM-91: Installation of Smoke Detection and Alarm Systems, HC-64: Brooklyn Service Building Electrical Rehabilitation, and QM-81: Rehabilitation of Tunnel Controls & Communication Systems.",JUN,2018,$5M - $10M,,,,,,,,,,,,,,
P36481,NYCT,New York City Transit,Construction,25,Negative Cables: 4th Ave Line - 36 St to 9 St (Ph 3A),,MAR,2019,$10M - $50M,,,,,,,,,,,,,,
E30300,NYCT,New York City Transit,Construction,23,Replace 2 Escalators: Grand Central-42 Street / Lexington,Replacement of deficient escalators and stairs at 42nd Street-Grand Central on the Lexington Line in Manhattan. Work will include:,JUN,2018,$5M - $10M,"Replacement of escalator controllers, status monitoring system, electrical panels, communications systems, Closed Circuit TV System, smoke and fire system and related components.",Establishment of an Ethernet connection between Status Monitors and the Elevator and Escalator Control Desk.,,,,,,,,,,,,
E34028,NYCT,New York City Transit,Construction,38,Replace 8 Traction Elevators / Various,,FEB,2019,$10M - $50M,,,,,,,,,,,,,,
C34855,NYCT,New York City Transit,Construction,31,"DCE Shop Components, Phase 2: 239th St, Concourse, East New York","This project involves component replacement at 239th St, Concourse, and East New York Maintenance Facilities to state of good repair. Work will include:",JUL,2018,$10M - $50M,"Concourse Maintenance Shop: electrical system upgrade, partial roof replacement, new exhaust fans to improve ventilation, repair of concrete aprons, walkways and roadways surrounding the shop.","239th Street Maintenance Shop: partial roof replacement, extending the crane to improve HVAC system maintenance for the trains, installing trench drains along pits, repairing access stairs to the shop, and installing new HEET.","East New York Maintenance Shop: roof replacement and repair of hung ceilings damaged by water penetration, exhaust fan replacement, and repairing access stairs to the shop.",,,,,,,,,,,
ST21-3072,NYCT,New York City Transit,Construction,,"Subway Interior Stairs: 5 Locations / 8AV, BW7 [SBMP]",,JAN,2019,$5M - $10M,,,,,,,,,,,,,,
C40271,NYCT,New York City Transit,Construction,6,Paving: Manhattanville Depot Parking (SBMP),This Small Business Mentoring project will provide for the re-paving of the existing parking deck area at the Manhattanville Bus Depot.,JUL,2018,$1M - $5M,,,,,,,,,,,,,,
M11162,MNR,Metro North Railroad,Purchase/Install,17,Purchase/Install DC Switchgear**,"This contract provides for the replacement of obsolete and under capacity switchgear, reactors, and circuit breakers at nine locations along Metro North?s New Haven and Hudson lines. It includes the acquisition of new substation components to provide necessary high power capacity to meet present and future requirements of Metro North?s EMU fleets.    The locations include: Harmon North, Ossining, Scarborough, Philips Manor, Irvington, Dobbs Ferry, Hastings, Greystone, and Mt. Vernon.",JUN,2018,$10M - $50M,Manufacture and delivery of DC substation components.,"Installation, testing, commissioning of new equipment.",,,,,,,,,,,,
RK-20,B&T,Bridges and Tunnels,Constr,18,Construction: Main Cables Inspection and Rehabilitation at RFK Bridge,"Under this contract, the contractor will unwrap and wedge open main cables at selected panels for in-depth inspection, cable wires sampling and repairs, re-compact and re-wrap the main cables, painting of wrapping wires, as well as associated main cable band bolts tension measurement and re-tensioning.",DEC,2018,$5M - $10M,,,,,,,,,,,,,,
M10469,MNR,Metro North Railroad,Constr,12,PBX Software/Hardware,"This contract will provide UPS (Uninterruptible Power Supply) and power distribution hardware associated with PBX (Private Branch Exchange) equipment at five (5) Metro-North Railroad locations (see below). Interface UPS to centralized reporting system. Provide software upgrade for PBX Signaling Server. Provide expansion hardware for additional users at the PBX to existing system.    Locations: South East, North White Plains, Mott Haven, Croton Harmon and Poughkeepsie",SEP,2018,$1M - $5M,"Furnish, deliver, and install UPS, PDU (Power Distribution Unit).",Provide cabling to demarcation within PBX.,Configuration and implementation from vendor.,,,,,,,,,,,
A37686,NYCT,New York City Transit,Construction,14,Sandy Mitigation: Internal Station Hardening- Six Stations**,"This project will provide protection to the equipment located in the communication and signal rooms from flooding for the following stations:  -148th Street, Lenox Ave. Line.  -86th St., Brooklyn, Sea Beach Line.   -Beach 116th St., Far Rockaway Line.   -Howard Beach, Far Rockaway Line.   -Broad Channel, Far Rockaway Line.",JUL,2018,$10M - $50M,Construction of perimeter sheet pile wall.,"Sealing or waterproofing of openings, including conduits and louvers.",Reinforcement of existing walls.,Installation of french drain.,Elevation of critical equipment.,,,,,,,,,
T80280,NYCT,New York City Transit,Construction,18,SIR Mainline Track Rehabilitation**,This project will replace approximately eight miles of track on the Staten Island Railway. Work will include:,OCT,2018,$10M - $50M,"Full replacement of all track components which includes new CWR, track panels with cross ties, third rail, ballast and geotextile fabric.",,,,,,,,,,,,,
A36164,NYCT,New York City Transit,Construction,40,ADA: 68 St-Hunter College / Lexington,This project will provide full ADA (Americans with Disabilities Act) accessibility at the 68th Street-Hunter College Station located in the borough of Manhattan. Work will include:,SEP,2018,OVER $50M,"The installation of ADA elevators - 1 street (SE corner), 2 platform (NB/SB).",The construction of new mezzanine/platform stairs and expansion of the mezzanine.,Widening of existing street stairs.,"Other ADA modifications, including platform edge reconstruction and warning strip installation, modification of gates and booths and modifications of employee facilities.",,,,,,,,,,
M10667/M10769,MNR,Metro North Railroad,Constr,24,Repairs for localized deficiencies in GCT Train Shed and East Spine Vestibule**,"This contract is part of the cyclical program to rehabilitate the Grand Central Terminal Train Shed. It will provide priority repairs to steel, concrete and expansion joints to correct localized deficiencies. The contractor will work from street level (Park Avenue) to make repairs below grade and will also work from track level on overhead repairs during night and off peak hours.   At 48th Street and Park Avenue the contractor will perform structural repairs and modifications to architectural finishes above the East Spine Vestibule, immediately east of Park Avenue.",OCT,2018,$10M - $50M,Relocation and re-support of existing utilities as required.,Lead Abatement.,Demolition and preparation to the existing framing for structural repairs.,Construction of local structural repairs.,Construction of architectural finishes.,Reconnection and commissioning of the affected utilities.,,,,,,,,
C43762,NYCT,New York City Transit,Construction,27,Sandy Mitigation: Tiffany Central Warehouse**,"This project will develop an effective flood mitigation scheme to protect the facility, facility structure and equipment from flooding conditions of the surrounding areas. Work will include:",JUL,2018,$10M - $50M,Removal of tilt-up panels and replacement with new precast panels.,Installation of a French drain inside building perimeter.,Strengthening of steel columns and replacement of concrete columns.,,,,,,,,,,,
VN-32/VN-49,B&T,Bridges and Tunnels,Constr,36,"Construction: Verrazano-Narrows Bridge Steel Repairs, Fencing and Painting of Suspended Span Upper and Lower Level Steel","Under this Construction contract, the contractor will perform steel repairs and install fencing, as well as painting of the upper and lower level steel of the suspended span at the Verrazano-Narrows Bridge.",JUN,2018,OVER $50M,,,,,,,,,,,,,,
C34845,NYCT,New York City Transit,Construction,28,"DCE Shop Components, Ph 1:180 St, Coney Island, Pelham","This project will rehabilitate high-priority deficient components of various shops at the 180th St. Maintenance Facility, Coney Island Complex and Pelham Maintenance and Diesel Facilities. Work varies depending on the individual needs at each location. This project enables immediate rehabilitation or replacement needs to be met as opposed to waiting for a full shop rehabilitation or reconstruction. Work will include:",NOV,2018,$10M - $50M,Repair or upgrade of the HVAC systems.,Upgrade the AC electric supply and distribution systems.,Eliminate leaks and condensation issues in piping.,,,,,,,,,,,
A46031,NYCT,New York City Transit,Construction,20,Station Renewal: 52 Street / Flushing,The project consists of the renewal of 52nd Street Station on the Flushing Line in Queens. Work will include:,OCT,2018,$10M - $50M,"Street stairs: Provide new street stairs, canopies, and lighting.","Areas, Mezzanines, and Passageways: Repairs damaged floors, walls, ceilings, doors, windows. Scrape and paint walls and ceilings.","Platform Stairs: Provide new platform stairs, repair concrete curbs, and replace safety railings.","Platforms: Repair damaged floor, platform edges, platform ceilings, expansion joints, damaged canopies, columns, and windscreens.",,,,,,,,,,
E34033,NYCT,New York City Transit,Construction,27,Replace One Hydraulic Elevator at GC / Flushing,,DEC,2018,$1M - $5M,,,,,,,,,,,,,,
E34032,NYCT,New York City Transit,Construction,24,Replace One Hydraulic Elevator: GC-42 Street / Lexington,This project provides for the replacement of one (1) elevator at Grand Central Station. Work will include:,JUN,2018,$1M - $5M,"Installation of door, elevator cab and glass panels.","Provision of lighting, outlets and ventilation.",Replacement of cylinder and piston jack assembly.,Provision of new pumps and drainage.,Installation of telephone system and other communications equipment.,,,,,,,,,
M10472,MNR,Metro North Railroad,Constr,28,Construction-Mott Haven - Motor Alternators**,This contract provides for the construction of the replacement of two motor alternator sets located in Mott Haven Yard. The signal substation motor alternator sets convert high voltage 60 HZ AC power to medium voltage AC power to serve as a primary feed for Metro-North North?s Signal systems. Mott Haven Yard is one of (6) locations serving the electrified territory of the Harlem and Hudson lines.,JUL,2018,$5M - $10M,Switchgear and controls to be replaced.,Replace motor alternators with new motor alternators.,Installation of new 600V switchgear.,"Installation of new 5kv, 100 Hz switchgear.","Installation of new 15kv, 60Hz switchgear.",Installation of power and control cable.,,,,,,,,
C48703,NYCT,New York City Transit,Construction,26,LSCRP: Brooklyn (EPK),,May,2019,$10M - $50M,,,,,,,,,,,,,,
ST21-3348,NYCT,New York City Transit,Construction,,Mezzanine Columns: Atlantic Avenue / Canarsie [SBMP],,JAN,2019,$1M - $5M,,,,,,,,,,,,,,
S32400 / S48006,NYCT,New York City Transit,Construction,39,Communication Based Train Control (CBTC): Two Interlockings and Signal Overlay / 8 Avenue Line,,DEC,2018,OVER $50M,,,,,,,,,,,,,,
C34869,NYCT,New York City Transit,Construction,36,Sandy Mitigation: Sewer 207th Street**,This project will provide flood mitigation by re-locating Department of Environmental Protection (DEP) owned sewers from the 207th Street Yard in Manhattan. Work will include:,SEP,2018,OVER $50M,"Removing and relocating the existing  NYCDEP regulator, diversion chamber, and tide gates and internal sanitary service connections in the yard.","Constructing sanitary pump station, force main, regulators, tide gates, branch interceptor and ejector pump stations for the relocated sewer.",Installing reinforcing sewer lines and back water valves at outfalls.,,,,,,,,,,,
A46030,NYCT,New York City Transit,Construction,20,Station Renewal: 61 Street-Woodside / Flushing,"The project consists of the renewal of 61st Street-Woodside Station, Flushing Line in Queens. Work will include:",OCT,2018,$10M - $50M,"Repair or replacement of street stairs, mezzanine to platform stairs, mezzanine floors, doors and windows, interior and exterior walls, and canopies as required.",Painting.,,,,,,,,,,,,
A37241,NYCT,New York City Transit,Construction,12,Elevated Street Stairs: 2 Locations / Brighton [SBMP],This Small Business Mentoring Project will eliminate nine deficient elevated stairs at Brighton Beach & Ocean Parkway subway stations. Work will include:,JUN,2018,$500K - $1M,"Replacement of stringers, treads, risers, landings, handrails, light fixtures and full security railings.",Repair of canopy support posts.,,,,,,,,,,,,
P36700,NYCT,New York City Transit,Construction,36,Replace High Tension Switchgear at 10 Substations,This project will replace high tension switchgear at ten (10) locations to modernize the switchgear and to provide an adequate level of reliability to the electrical power system. Work will include:,JUL,2018,$10M - $50M,Furnishing and installing new AC high tension switchgear in each substation and all connections including new cables for Con Edison connection and from HT switchgear to transformer.,Furnishing and installing new G & T device and AC breaker test station.,"Reinstalling existing power transforming, rectifier unit and auxiliary boxes.",Installing new CTBs.,,,,,,,,,,
T80279,NYCT,New York City Transit,Construction,24,Sandy Mitigation: St. George**,"This project will provide a flood mitigation scheme to protect the St. George Terminal Station and Yard. The purpose of the project is to develop feasible and effective flood mitigation measures and schemes which protect the yards against flooding from future storm events. The project consists of a perimeter flood wall to protect against storm surges, as well as improvements of the drainage system to mitigate effects of heavy rain fall. Work will include:",AUG,2018,OVER $50M,The installation of flood walls.,Installation of backflow prevention to the drainage system.,Relocation of utilities and critical equipment as required..,,,,,,,,,,,
C-40246,MTA BUS,MTA Bus,Constr,19,CNG Upgrade-College Point Depot**,"The work shall include the replacement of three compressor skids, CNG gas flow priority panel, PLC controls system, components for three dual hose dispensers, various CNG and compressed air piping, hoses, flexible connectors, and valves. Also included is a new three sided enclosure building with roof, overhead crane system, gas leak detection system, camera security system, and lighting. This project is FTA funded. Procurement will be done on behalf of MTA Bus by MTA New York City Transit.",SEP,2018,$5M - $10M,,,,,,,,,,,,,,
A37217,NYCT,New York City Transit,Construction,22,Platform Components: 10 Locations / Broadway-7th Avenue,,JAN,2019,$10M - $50M,,,,,,,,,,,,,,
N01081,MTAPD,MTA Police,Constr Mgmt,36,PUBLIC RADIO PHASE 3,"The MTAPD requires the support services of a qualified and experienced RF Communications Consultant Construction Manager that will serve as a Project Manager and will provide daily oversight for the Metropolitan Regional Radio System Project (MRRS). The MTAPD has an agreement with the Harris Corporation for the Design, Build, Operations and Maintenance (DBOM) of the MRRS, a digital 700MHz trunked P25 radio system.",JUN,2018,$5M - $10M,,,,,,,,,,,,,,
S33933,NYCT,New York City Transit,Construction,34,Code Cable Replacement / BW7,,MAR,2019,$1M - $5M,,,,,,,,,,,,,,
A37214,NYCT,New York City Transit,Construction,12,"Subway Street Stairs: 4 Locs / 8AV, BW7 (2018) [SBMP]",This Small Business Mentoring Project will eliminate deficient street stairs rated 3.5 or worse by the Station Condition Survey and existing field conditions at 4 locations. Work will include:,JUN,2018,$1M - $5M,"Concrete work, such as reconstructing guardrail curbs, sidewalk repair and provision of concrete topping at stair landings.",Drainage work.,Replacement of treads and risers.,Provision of ADA compliant handrails.,Painting.,,,,,,,,,
P36704,NYCT,New York City Transit,Construction,16,Sandy Mitigation: Montague-Furman Substation / BWY**,,FEB,2019,$1M - $5M,,,,,,,,,,,,,,
A46028,NYCT,New York City Transit,Construction,23,Station Renewal: 82 Street-Jackson Heights / Flushing,"The project consists of the renewal of 82nd Street-Jackson Heights  Station, Flushing Line in the borough of Queens. Work will include:",OCT,2018,$10M - $50M,"Repair or replacement of street stairs, mezzanine to platform stairs, mezzanine floors, doors and windows, interior and exterior walls, and canopies as required.",Painting.,,,,,,,,,,,,
P36703,NYCT,New York City Transit,Construction,20,Substation Roof & Enclosure: Washington Hts/ 8th AVE [SBMP2],This project will rehabilitate the roof and enclosure at the Washington Heights Substation in Manhattan. Work will include:,OCT,2018,$1M - $5M,"Furnishing and installing new power equipment, such as high tension switchgears, rectifiers and transformers.","The provision of all necessary controls, interlocks, wires and conduits for exhaust fans and dampers.",Furnish and install fiber optic cable from FDB to FDB in addition to related communication equipment.,,,,,,,,,,,
A37300,NYCT,New York City Transit,Construction,12,Station Lighting: 5 Locations / Various (2015) [SBMP],,MAR,2019,$1M - $5M,,,,,,,,,,,,,,
E30512,NYCT,New York City Transit,Construction,48,Replace 9 Escalators / Various**,,May,2019,$10M - $50M,,,,,,,,,,,,,,
A46023,NYCT,New York City Transit,Construction,18,138 Street-Grand Concourse / Jerome,"Renewal of 138th Street-Grand Concourse Station on the Jerome Line. Work may include, but will not be limited to:",AUG,2018,$10M - $50M,Repair of street and platform stairs.,"Repair of platform components, including platform edge strip, warning strip, ADA boarding area, floor toping and column bases.",Station painting.,,,,,,,,,,,
P36317,NYCT,New York City Transit,Construction,39,New Substation: 28 Street / 8th Avenue**,,JAN,2019,$10M - $50M,,,,,,,,,,,,,,
RK-19/RK-70 Phase 1A,B&T,Bridges and Tunnels,Constr,30,Construction :Structural Rehabilitation at RFK Bridge,"Under this construction contract, the contractor will perform structural rehabilitation and associated painting at Queens approach, Queens viaduct, Wards Island Viaduct, Bronx truss span, Bronx approach and Harlem River lift span of the RFK Bridge.",MAY,2019,OVER $50M,,,,,,,,,,,,,,
L11118   [L70401BV],LIRR,Long Island Rail Road,Constr,5,N. Main and Accabonac Bridge Replacements**,"The contract requires the installation of a total of nine (9) 72? drilled shafts with 75? embedment at two bridges in East Hampton, NY:  four (4) 72? diameter drilled shaft at North Main Street Bridge; four (4) 72? diameter drilled shaft at Accabonac Road Bridge; and one (1) 72? diameter trial drilled shaft.",SEP,2018,$1M - $5M,Survey and inspect the site and verify all existing conditions and utilities.,"Install four (4) 72? diameter drilled shafts at each bridge site.  A total of nine (9) 72? diameter drilled shafts is required for this project, including one trial shaft.",Perform axial and lateral load tests on the trial drilled shaft.,"Design and install temporary shoring, bracing, sheeting, etc. to allow for drilling of the drilled shafts.",Obtain all permits,Obtain a third-party testing agency for all controlled inspections of concrete and soil compaction.,"Clearing, grubbing, debris disposal and dewatering as needed to facilitate the construction.","Provide and maintain appropriate curb, barricades, barrels, lights and warning signs for where such traffic is to be expected.","Provide MPT for all lane and street closures in accordance with NYS MUTCD, stipulations of Suffolk County and local municipalities",Protect the existing structure.  Submit a vibration and displacement monitoring plan for the existing bridges including the stone abutment and pier.,,,,
TN-49,B&T,Bridges and Tunnels,Constr,48,Construction: Replacement of the Suspended Span Deck,"Under this Construction contract, the contractor will replace approximately 243,000 square feet of the existing deteriorated concrete grid roadway deck with a new Orthotropic deck system, including utility replacement and replacement of the median barriers, parapets, sign structures, and painting work.",JUN,2018,OVER $50M,,,,,,,,,,,,,,
C48719,NYCT,New York City Transit,Construction,21,"LSCRP:Station and Tunnel Priority Defect Repairs, 1-8 Av/CNR",This project will repair line structure components on the Canarsie Line from 1st Ave. to 8th Ave. Stations in Manhattan. Work will include:,OCT,2018,$10M - $50M,"Repair of structural steel defects (columns, beams, knee braces).","Repair of concrete defects (tunnel walls, ceilings, etc.).",Repair of leaks within tunnel and station areas.,,,,,,,,,,,
A46027,NYCT,New York City Transit,Construction,23,Station Renewal: 103 St-Corona Plaza / Flushing,"The project consists of the renewal of 103rd St-Corona Plaza Station, Flushing Line in the borough of Queens. Work will include:",OCT,2018,$10M - $50M,"Repair or replacement of street stairs, mezzanine to platform stairs, mezzanine floors, doors and windows, interior and exterior walls, and canopies as required.",Painting.,,,,,,,,,,,,
C34841,NYCT,New York City Transit,Construction,23,"DCE Shop Components, Phase 4: 207 St, Admin",,JAN,2019,$5M - $10M,,,,,,,,,,,,,,
T80281,NYCT,New York City Transit,Construction,12,Clifton Yard Track and Switch Reconfiguration,"This project will reconfigure Clifton Yard track, switch and related components to support the new Clifton Shop. Work will include:",OCT,2018,$250K - $500K,"The  installation of Type VI tracks, new 84-C type composite contact rails, duct banks and switches.",,,,,,,,,,,,,
C43752,NYCT,New York City Transit,Construction,24,RTO Facility: Chambers St / Nassau Loop,This project will repair and refurbish rooms and HVAC upgrade at NYC Transit's Rapid Transit Operations Construction Flagging facility at the Chambers Street Station on the Nassau Loop in Manhattan. Work will include:,AUG,2018,$5M - $10M,"Constructing new facility designed to accommodate all designated rooms, furniture, etc.",HVAC work.,Communications work.,Electrical work.,,,,,,,,,,
A36988,NYCT,New York City Transit,Construction,10,Platform Components: 2 Locations / Jerome,,FEB,2019,$500K - $1M,,,,,,,,,,,,,,
A46024,NYCT,New York City Transit,Construction,10,Water Remediation: Borough Hall / Lexington,,APR,2019,$10M - $50M,,,,,,,,,,,,,,
C40269,NYCT,New York City Transit,Construction,18,Artic Modification: East New York Depot**,The purpose of this project is to rehabilitate interior depot spaces on the 1st Floor of the East New York Bus Depot in Brooklyn to accommodate operation and parking of new articulated buses. Work will include:,OCT,2018,$10M - $50M,Relocating the existing office space to a new facility within the depot floor.,Relocating the existing chassis wash.,"Modifying the existing ductwork, electrical and mechanical equipment to accommodate the new circulating spaces for the articulated buses.",Converting 4 existing bays to articulated work stations.,,,,,,,,,,
C30401,NYCT,New York City Transit,Construction,24,Deep Wells: Nostrand Ph 2: Rehabilitate,,JAN,2019,$5M - $10M,,,,,,,,,,,,,,
A37212,NYCT,New York City Transit,Construction,16,Subway Street Stairs: 4 Locs / Various (2017) [SBMP],"This Small Business Mentoring Project will eliminate deficient street stairs at four locations. Subway stations: Kingsbridge Rd., Grand Ave-Newtown, Fulton St. (Brooklyn), Vernon-Jackson. Work will include:",JUN,2018,$1M - $5M,"Concrete work, such as reconstructing guardrail curbs, sidewalk repair and provision of concrete topping at stair landings.",Drainage work.,Replacement of treads and risers.,Provision of ADA compliant handrails.,Painting.,,,,,,,,,
A37671,NYCT,New York City Transit,Construction,,Sandy Mitigation: 138th St-Grand Concourse/JER (Vent Battery A)**,"Rehabilitation of southern vents at 138th Street Station on the Jerome Line. In addition, Mechanical Closure Devices will be provided as part of flood mitigation. Work will include:",SEP,2018,$5M - $10M,Demolish the top of existing ventilator bay structure.,"Rebuild top of ventilators with new galvanized steel beams, heavy duty steel gratings and concrete slab.",Demolish existing drip pans and concrete support beams under the south five bays of ventilator structure and rebuild new concrete drip pan with new galvanized steel support beams.,Provide new cementitious waterproofing on drip pan surface and inside face of concrete curb.,,,,,,,,,,
RK-66,B&T,Bridges and Tunnels,Constr,24,Design-Build: Enhancement of Electric Power Resiliency and Systems Flood Mitigation,"Under this Design-Build contract, the design-builder will design and construct a secondary feeder with ATS at the power sources of the Open Road Tolling infrastructures at the Robert F. Kennedy Bridge, and relocate the Robert Moses Building boilers and electric substation outside the building footprint to a location above design flood level.",NOV,2018,$10M - $50M,,,,,,,,,,,,,,
ST21-3351,NYCT,New York City Transit,Construction,,Mezzanine Components: Nevins Street / EPK [SBMP],,JAN,2019,$1M - $5M,,,,,,,,,,,,,,
E34031,NYCT,New York City Transit,Construction,27,Replace 2 Hydraulic Elevators: Franklin Avenue / Shuttle**,,MAR,2019,$5M - $10M,,,,,,,,,,,,,,
